Location,Latitude,Longitude
Abbeville city,31.992516,-83.306781
Acworth city,34.056425,-84.668881
Adairsville city,34.370226,-84.921455
Adel city,31.131649,-83.425027
Adrian city,32.530591,-82.592026
Ailey city,32.188217,-82.569002
Alamo town,32.14694,-82.779751
Alapaha town,31.383134,-83.223703
Albany city,31.577604,-84.176324
Aldora town,33.050909,-84.175985
Allenhurst city,31.784044,-81.607716
Allentown city,32.592668,-83.225824
Alma city,31.54323,-82.474498
Alpharetta city,34.070383,-84.273828
Alston town,32.08097,-82.478925
Alto town,34.465164,-83.57277
Ambrose city,31.594442,-83.013715
Americus city,32.073537,-84.224754
Andersonville city,32.196539,-84.145475
Arabi town,31.828156,-83.730247
Aragon city,34.045688,-85.057078
Arcade city,34.071094,-83.540328
Argyle town,31.073214,-82.648875
Arlington city,31.437802,-84.725394
Arnoldsville city,33.910329,-83.218058
Ashburn city,31.709582,-83.652788
Athens-Clarke County unified government (balance),33.950817,-83.368942
Atlanta city,33.762652,-84.423142
Attapulgus city,30.74949,-84.483886
Auburn city,34.014987,-83.831546
Augusta-Richmond County consolidated government (balance),33.364456,-82.07084
Austell city,33.820256,-84.645307
Avalon town,34.502685,-83.1967
Avera city,33.193423,-82.528732
Avondale Estates city,33.769387,-84.26426
Baconton city,31.38038,-84.159184
Bainbridge city,30.904545,-84.572159
Baldwin city,34.48639,-83.549326
Ball Ground city,34.342028,-84.361936
Barnesville city,33.051053,-84.152607
Bartow town,32.881573,-82.471157
Barwick city,30.893258,-83.739135
Baxley city,31.764801,-82.350998
Bellville city,32.152558,-81.974354
Belvedere Park,33.748913,-84.260037
Berkeley Lake city,33.982678,-84.183447
Berlin city,31.06785,-83.62388
Bethlehem town,33.937575,-83.709077
Between town,33.81777,-83.804335
Bishop town,33.817142,-83.437172
Blackshear city,31.298907,-82.243006
Blairsville city,34.876053,-83.954765
Blakely city,31.382662,-84.922742
Bloomingdale city,32.124889,-81.307658
Blue Ridge city,34.865799,-84.323385
Bluffton town,31.519818,-84.869119
Blythe city,33.301136,-82.202655
Bogart town,33.947375,-83.533465
Bonanza,33.458441,-84.336929
Boston city,30.792003,-83.789922
Bostwick city,33.737801,-83.51496
Bowdon city,33.537837,-85.253976
Bowersville town,34.372692,-83.083138
Bowman city,34.205132,-83.030873
Boykin,31.101713,-84.684814
Braselton town,34.108666,-83.81243
Braswell town,33.983623,-84.959049
Bremen city,33.708919,-85.149391
Brinson town,30.978442,-84.737945
Bronwood town,31.830545,-84.364332
Brooklet city,32.389688,-81.666796
Brooks town,33.292482,-84.458797
Broxton city,31.624794,-82.887711
Brunswick city,31.144996,-81.473951
Buchanan city,33.8031,-85.180273
Buckhead town,33.568452,-83.362308
Buena Vista city,32.318717,-84.517811
Buford city,34.118339,-83.991785
Butler city,32.557029,-84.237715
Byromville town,32.201633,-83.907239
Byron city,32.647662,-83.753883
Cadwell town,32.339551,-83.041965
Cairo city,30.878687,-84.204841
Calhoun city,34.492588,-84.93942
Calvary,30.722436,-84.354133
Camak town,33.452633,-82.646269
Camilla city,31.235877,-84.207134
Candler-McAfee,33.726719,-84.272465
Canon city,34.345531,-83.110737
Canoochee,32.678631,-82.178548
Canton city,34.246824,-84.490177
Carl town,34.005044,-83.812754
Carlton city,34.042654,-83.038517
Carnesville city,34.371584,-83.23287
Carrollton city,33.581804,-85.083726
Cartersville city,34.16311,-84.800683
Cave Spring city,34.106438,-85.339075
Cecil city,31.046573,-83.390704
Cedar Springs,31.187306,-85.03244
Cedartown city,34.021558,-85.250079
Centerville city,32.633923,-83.685339
Centralhatchee town,33.368898,-85.103722
Chamblee city,33.888666,-84.303623
Chatsworth city,34.780708,-84.783392
Chattahoochee Hills city,33.560472,-84.751205
Chattanooga Valley,34.924092,-85.343244
Chauncey city,32.105903,-83.064551
